strategy_name,month,monthly_return,artifact_label,artifact_scope
gru_gross__validation_support,2024-08-31 00:00:00+00:00,-0.021162755856773963,SHOWCASE,Showcase results
gru_gross__validation_support,2024-09-30 00:00:00+00:00,0.009268949714035912,SHOWCASE,Showcase results
gru_gross__validation_support,2024-10-31 00:00:00+00:00,-0.022151260110647275,SHOWCASE,Showcase results
gru_gross__validation_support,2024-11-30 00:00:00+00:00,-0.016882029124417053,SHOWCASE,Showcase results
gru_gross__validation_support,2024-12-31 00:00:00+00:00,0.02420216294307309,SHOWCASE,Showcase results
gru_gross__validation_support,2025-01-31 00:00:00+00:00,0.05091996328969173,SHOWCASE,Showcase results
gru_gross__validation_support,2025-02-28 00:00:00+00:00,0.0107438469545309,SHOWCASE,Showcase results
gru_gross__validation_support,2025-03-31 00:00:00+00:00,-0.013454916275608575,SHOWCASE,Showcase results
gru_gross__validation_support,2025-04-30 00:00:00+00:00,0.009072870267597732,SHOWCASE,Showcase results
gru_gross__validation_support,2025-05-31 00:00:00+00:00,-0.015790482374239523,SHOWCASE,Showcase results
gru_gross__validation_support,2025-06-30 00:00:00+00:00,-0.033195359836479366,SHOWCASE,Showcase results
gru_gross__validation_support,2025-07-31 00:00:00+00:00,0.0047694965397844236,SHOWCASE,Showcase results
gru_gross__validation_support,2025-08-31 00:00:00+00:00,0.05206916576716836,SHOWCASE,Showcase results
gru_gross__validation_support,2025-09-30 00:00:00+00:00,0.017532857900743437,SHOWCASE,Showcase results
gru_gross__validation_support,2025-10-31 00:00:00+00:00,0.02819676827655071,SHOWCASE,Showcase results
gru_gross__validation_support,2025-11-30 00:00:00+00:00,0.053597342429515527,SHOWCASE,Showcase results
gru_gross__validation_support,2025-12-31 00:00:00+00:00,0.00435540457521455,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2024-08-31 00:00:00+00:00,-0.022815762759226366,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2024-09-30 00:00:00+00:00,0.001201961555114206,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2024-10-31 00:00:00+00:00,-0.012050542619811977,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2024-11-30 00:00:00+00:00,-0.01383968571962868,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2024-12-31 00:00:00+00:00,0.006853123416945328,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-01-31 00:00:00+00:00,0.04745369212685291,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-02-28 00:00:00+00:00,0.020299215072599353,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-03-31 00:00:00+00:00,-0.022309714759215615,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-04-30 00:00:00+00:00,0.002547264738634869,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-05-31 00:00:00+00:00,0.0011871435264811936,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-06-30 00:00:00+00:00,-0.024192493575751706,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-07-31 00:00:00+00:00,-0.008494924861845665,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-08-31 00:00:00+00:00,0.055290689788648706,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-09-30 00:00:00+00:00,0.022652600878269702,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-10-31 00:00:00+00:00,0.008819465693304274,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-11-30 00:00:00+00:00,0.04185981728112331,SHOWCASE,Showcase results
lstm_gross__rolling_top_decile_abs,2025-12-31 00:00:00+00:00,0.009464244915674547,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2024-08-31 00:00:00+00:00,-0.011398509066906648,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2024-09-30 00:00:00+00:00,0.01630372272227154,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2024-10-31 00:00:00+00:00,-0.04012649106814359,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2024-11-30 00:00:00+00:00,-0.016497504706837085,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2024-12-31 00:00:00+00:00,0.03784405282651537,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-01-31 00:00:00+00:00,0.03880339832214785,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-02-28 00:00:00+00:00,0.0009258653046928522,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-03-31 00:00:00+00:00,0.0005819629739545196,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-04-30 00:00:00+00:00,0.0023454098191706407,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-05-31 00:00:00+00:00,-0.019262613156283304,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-06-30 00:00:00+00:00,-0.022683597583853077,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-07-31 00:00:00+00:00,0.023840791795047833,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-08-31 00:00:00+00:00,0.04822218498682962,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-09-30 00:00:00+00:00,0.027909826910186508,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-10-31 00:00:00+00:00,0.056088021201772476,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-11-30 00:00:00+00:00,0.06121283210341466,SHOWCASE,Showcase results
transformer_direction__rolling_top_decile_abs,2025-12-31 00:00:00+00:00,-0.019957649575631065,SHOWCASE,Showcase results
