artifact_label,artifact_scope,trade_id,strategy_name,display_name,family_label,track,source,source_subtype,task,model_name,split,direction,entry_timestamp,exit_timestamp,holding_hours,gross_return_bps,fees_usd,slippage_cost_usd,funding_pnl_usd,net_pnl_usd,net_return_bps,position_notional_usd,story_note
SHOWCASE,Showcase results,1,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-01-02 00:00:00+00:00,2023-01-03 16:00:00+00:00,40.0,56.24867860385565,14.0,8.0,17.55,97.4973572077113,48.74867860385565,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,2,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-01-05 00:00:00+00:00,2023-01-10 16:00:00+00:00,136.0,-23.277350470268196,14.0,8.0,-11.08,-61.55470094053639,-30.777350470268196,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,3,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-01-11 00:00:00+00:00,2023-01-16 16:00:00+00:00,136.0,68.22296008559746,14.0,8.0,21.86,121.44592017119494,60.72296008559747,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,4,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-01-17 00:00:00+00:00,2023-01-23 16:00:00+00:00,160.0,58.7957953265034,14.0,8.0,18.47,102.5915906530068,51.2957953265034,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,5,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-01-20 00:00:00+00:00,2023-01-25 16:00:00+00:00,136.0,-22.108523159895974,14.0,8.0,-10.66,-59.21704631979195,-29.608523159895974,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,6,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,long_perp_short_spot,2023-01-26 00:00:00+00:00,2023-01-31 16:00:00+00:00,136.0,-16.458191692146794,14.0,8.0,-8.62,-47.916383384293596,-23.958191692146794,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,7,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-02-01 00:00:00+00:00,2023-02-02 16:00:00+00:00,40.0,-27.206944989848864,14.0,8.0,-12.49,-69.41388997969773,-34.706944989848864,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,8,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,long_perp_short_spot,2023-02-07 00:00:00+00:00,2023-02-09 16:00:00+00:00,64.0,34.60245788587318,14.0,8.0,9.76,54.20491577174635,27.102457885873175,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,9,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-02-10 00:00:00+00:00,2023-02-15 16:00:00+00:00,136.0,-39.22887329424323,14.0,8.0,-16.82,-93.45774658848646,-46.72887329424323,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,10,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,long_perp_short_spot,2023-02-16 00:00:00+00:00,2023-02-20 16:00:00+00:00,112.0,-32.53349222724793,14.0,8.0,-14.41,-80.06698445449587,-40.03349222724793,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,11,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-02-22 00:00:00+00:00,2023-02-24 16:00:00+00:00,64.0,-41.93118803297266,14.0,8.0,-17.8,-98.86237606594533,-49.43118803297266,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
SHOWCASE,Showcase results,12,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,train,short_perp_long_spot,2023-02-27 00:00:00+00:00,2023-03-03 16:00:00+00:00,112.0,53.63631423084585,14.0,8.0,16.61,92.2726284616917,46.13631423084585,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
